"subject","STIM","trial","keyboard","choice","count_correct","filename","gender","correct","MEL","RYT","Forfra","Bagfra","Rangordning","met_total","wm_total"
4,"C2PH","   34",54421,"B3",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C4PS","   35",15143,"B3",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C2PH","   36",54421,"C4PS",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C4PS","   33",15143,"B3",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B3","   38",21353,"C4PS",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B3","   39",21353,"C4PS",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C4PS","   40",15143,"C4PS",22,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   37",12343,"B3",21,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B3","   42",21353,"B3",24,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   43",54421,"C2PH",25,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   44",12343,"B2",26,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   45",54421,"B3",26,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B4","   46",22222,"B4",27,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   47",21353,"B3",28,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   48",12343,"B2",29,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   49",22222,"B4",30,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   50",54421,"B3",30,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B2","   51",12343,"B2",31,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   52",12343,"B2",32,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   53",22222,"B4",33,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C4PS","   54",15143,"B3",33,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B3","   55",21353,"B3",34,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
